index,workclass,education,marital.status,occupation,cluster
1,Private,HS-grad,Widowed,Exec-managerial,0
3,Private,7th-8th,Divorced,Machine-op-inspct,0
4,Private,Some-college,Separated,Prof-specialty,1
5,Private,HS-grad,Divorced,Other-service,0
6,Private,10th,Separated,Adm-clerical,1
7,State-gov,Doctorate,Never-married,Prof-specialty,1
8,Federal-gov,HS-grad,Divorced,Prof-specialty,0
9,Private,Some-college,Never-married,Craft-repair,1
10,Private,Doctorate,Divorced,Prof-specialty,0
11,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,1
12,Private,Bachelors,Widowed,Other-service,0
13,Private,Masters,Separated,Exec-managerial,0
15,Private,Prof-school,Divorced,Prof-specialty,0
16,Private,11th,Divorced,Transport-moving,0
17,Private,Masters,Divorced,Exec-managerial,0
18,Private,Assoc-acdm,Never-married,Handlers-cleaners,1
19,Private,Bachelors,Separated,Sales,0
20,Private,Bachelors,Never-married,Exec-managerial,1
21,Private,11th,Separated,Sales,0
22,Private,HS-grad,Divorced,Sales,0
23,Private,Some-college,Married-civ-spouse,Transport-moving,0
25,Private,Assoc-voc,Married-civ-spouse,Craft-repair,0
26,Private,1st-4th,Married-civ-spouse,Craft-repair,0
27,Private,5th-6th,Married-civ-spouse,Other-service,0
28,Self-emp-inc,10th,Never-married,Transport-moving,1
29,Private,10th,Never-married,Prof-specialty,1
30,Private,Some-college,Separated,Other-service,1
31,Self-emp-inc,10th,Widowed,Exec-managerial,0
32,Private,Prof-school,Divorced,Exec-managerial,0
33,Private,Bachelors,Divorced,Exec-managerial,0
34,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,0
35,Federal-gov,Doctorate,Divorced,Exec-managerial,0
36,Private,HS-grad,Never-married,Sales,0
37,Private,Prof-school,Never-married,Prof-specialty,1
38,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,1
39,Private,Masters,Divorced,Prof-specialty,0
40,Private,Bachelors,Divorced,Exec-managerial,0
41,Private,Masters,Divorced,Exec-managerial,0
42,Private,Some-college,Divorced,Adm-clerical,1
43,Private,Masters,Divorced,Prof-specialty,0
45,Private,Bachelors,Married-spouse-absent,Sales,0
46,Private,HS-grad,Married-civ-spouse,Sales,0
47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,0
50,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,1
51,Private,HS-grad,Widowed,Sales,0
52,State-gov,Assoc-voc,Divorced,Tech-support,0
53,Private,Some-college,Never-married,Exec-managerial,1
54,Private,Masters,Never-married,Sales,1
55,Private,Bachelors,Never-married,Exec-managerial,1
56,Private,Some-college,Separated,Craft-repair,0
57,Local-gov,Some-college,Never-married,Protective-serv,1
58,Private,Bachelors,Never-married,Sales,1
59,Private,Assoc-voc,Separated,Craft-repair,0
60,Private,Assoc-acdm,Divorced,Craft-repair,0
61,Self-emp-inc,11th,Never-married,Exec-managerial,1
62,Private,Some-college,Married-civ-spouse,Adm-clerical,1
63,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,0
64,Private,Prof-school,Married-civ-spouse,Prof-specialty,0
65,Self-emp-inc,Assoc-voc,Married-civ-spouse,Machine-op-inspct,0
66,Private,Masters,Married-civ-spouse,Exec-managerial,0
67,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
68,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,0
69,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
70,Private,Bachelors,Married-civ-spouse,Sales,0
71,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,0
72,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,0
73,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
74,Private,Masters,Married-civ-spouse,Exec-managerial,0
75,Private,Bachelors,Married-civ-spouse,Exec-managerial,0
77,Private,Masters,Married-civ-spouse,Sales,0
78,Private,Masters,Married-civ-spouse,Exec-managerial,0
79,Private,Bachelors,Married-civ-spouse,Prof-specialty,0
80,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,0
81,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
82,Private,Masters,Married-civ-spouse,Exec-managerial,0
83,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,0
84,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,0
85,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
86,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
87,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,0
88,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,0
89,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,0
90,Private,Prof-school,Married-civ-spouse,Prof-specialty,0
91,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,0
92,Private,Some-college,Married-civ-spouse,Farming-fishing,0
93,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,0
94,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,0
95,Private,Bachelors,Married-civ-spouse,Adm-clerical,0
96,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,0
97,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,0
98,Private,Prof-school,Married-civ-spouse,Sales,0
